hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
430512,0.5194736687,52,2,2,1,1,5,220,5,2,2,2
430513,0.1893319074,52,1,2,1,1,5,220,4,6,5,2
430521,0.462478612,71,1,2,4,1,6,210,2,1,1,1
430523,2.1841475562,85,2,3,4,2,6,10,1,0,0,1
430525,0.7055748436,57,2,2,1,1,5,220,3,0,0,2
430529,1.7471496806,31,1,1,1,1,4,210,2,1,1,2
430531,0.3192131006,67,1,2,4,1,6,210,2,2,2,1
430538,4.1081728493,37,1,2,1,1,4,30,8,2,2,3
430539,0.4821429779,70,2,1,4,1,6,210,2,1,1,2
430541,0.7910662245,58,2,1,1,2,5,210,2,1,1,2
430547,0.3380755444,70,2,4,4,1,6,10,1,1,1,1
430548,0.2161213344,61,2,2,1,1,5,220,3,4,4,2
430552,1.140968977,25,1,1,2,1,4,220,3,2,2,3
430557,0.1564649556,63,1,2,4,1,5,210,2,1,1,1
430558,0.5392785567,36,2,2,1,1,4,220,3,1,1,1
430559,0.5252720949,70,1,2,4,1,6,30,3,0,0,1
430561,0.5507427205,70,2,2,4,1,6,210,2,1,1,2
430562,0.8767140552,48,2,2,1,1,5,220,3,3,3,2
430566,0.4049847217,68,1,3,4,1,6,10,1,0,0,1
430576,1.04597864,36,2,1,1,1,4,10,1,1,1,1
430582,0.9276994386,59,1,4,1,1,5,10,1,1,1,1
430583,1.5002828724,16,2,1,3,2,2,230,3,1,1,3
430584,0.7302516924,26,1,1,1,1,4,10,1,1,1,1
430591,0.9891298562,37,1,1,1,1,4,230,2,1,1,2
430594,0.343315463,28,2,1,1,2,4,220,3,2,2,3
430598,0.7581569473,75,1,2,1,1,6,10,1,1,1,1
430604,0.3022819027,49,1,2,1,1,5,220,5,2,2,1
430605,0.6967958484,54,1,2,1,1,5,30,3,1,1,3
430606,1.9388601814,84,1,4,4,1,6,210,2,1,1,1
430612,4.9438536486,50,2,3,2,2,5,230,3,0,0,1
430616,0.7293698444,11,1,1,5,2,1,220,4,4,4,4
430617,0.4412394163,70,1,2,1,1,6,210,2,1,1,1
430621,1.0651939623,52,1,2,1,1,5,220,4,1,1,1
430622,0.7414987476,66,2,2,4,1,6,210,2,2,2,2
430632,0.2194358698,45,2,2,1,1,5,220,5,1,1,2
430633,1.89647935,55,2,3,2,1,5,230,2,2,2,1
430634,1.1153437076,72,2,2,4,1,6,210,2,1,1,2
430635,2.1401435005,11,2,1,5,2,1,230,2,1,1,2
430638,1.2606746497,8,1,1,5,2,1,220,6,1,1,5
430642,1.4984130423,8,1,1,5,2,1,220,5,1,1,5
430643,1.1022122447,9,1,1,5,2,1,220,6,1,1,6
430644,0.7319073076,10,2,1,5,2,1,220,5,1,1,4
430647,0.7857637401,27,2,1,1,1,4,10,1,1,1,1
430653,1.1470694618,16,1,1,1,2,2,220,5,1,1,3
430654,3.8471068532,39,1,2,1,1,4,220,3,1,1,1
430656,1.510256377,44,1,1,1,1,5,220,4,1,1,1
430663,0.8286901708,36,1,2,1,1,4,220,4,2,2,1
430665,0.6485272341,43,1,1,1,1,4,210,2,1,1,1
430671,0.4055463539,46,1,2,1,1,5,220,5,1,1,1
430673,0.5338750075,29,2,2,2,1,4,220,3,1,1,2
430674,0.6501908842,33,1,2,1,1,4,220,5,1,1,2
430675,0.5907144577,40,2,2,1,1,4,220,5,2,2,1
430678,0.5590131903,8,1,1,5,2,1,220,5,1,1,4
430681,1.9747484405,7,1,1,5,2,1,220,4,2,2,3
430685,0.6071797134,86,1,2,4,1,6,210,2,2,2,1
430687,0.2731209633,66,2,2,4,1,6,210,2,0,0,1
430688,0.7941463431,19,1,1,1,1,3,230,2,2,2,2
430693,0.2267302786,63,1,2,1,1,5,220,3,1,1,1
430694,0.3501275334,44,2,2,2,1,5,220,5,1,1,2
430702,0.6069242886,67,1,4,4,1,6,210,2,1,1,1
430704,0.7959939645,40,1,2,1,1,4,220,4,1,1,1
430706,0.5956092738,43,1,2,1,1,4,220,8,2,2,2
430709,0.2083424197,45,2,2,2,1,5,220,4,1,1,2
430712,0.6813890275,62,2,2,1,1,5,210,2,2,2,1
430714,0.497534021,74,1,2,1,1,6,210,2,4,4,1
430727,1.0801099676,42,1,2,2,1,4,220,4,1,1,1
430728,0.5382061745,80,1,2,4,1,6,210,2,1,1,1
430731,1.2513358147,65,2,1,4,2,6,10,1,0,0,1
430733,0.1466156231,74,2,2,4,1,6,210,2,2,2,2
430735,1.2179559794,20,2,1,1,1,3,230,4,3,3,2
430742,1.4805399173,44,1,1,1,1,5,10,1,0,0,1
430749,1.319027743,47,1,1,1,1,5,220,4,2,2,1
430751,0.6614504188,58,2,2,1,1,5,210,2,2,2,2
430752,0.8480624491,66,1,1,4,1,6,10,1,1,1,1
430754,0.3157777461,60,2,2,1,1,5,210,2,2,2,2
430755,0.5312915712,79,2,4,4,1,6,230,2,1,1,1
430759,0.4518960943,42,2,2,1,1,4,220,3,0,0,1
430761,0.2556534388,62,1,2,1,1,5,210,2,1,1,2
430762,1.4241743756,54,1,4,1,1,5,210,2,1,1,1
430769,1.0686407994,57,2,2,1,1,5,220,3,2,2,1
430773,0.4865084271,21,1,1,1,1,3,220,4,1,1,3
430776,1.5448104847,81,2,2,1,1,6,210,2,2,2,1
430784,2.2824607763,40,1,1,1,1,4,10,1,1,1,1
430787,0.6224671317,56,2,1,1,1,5,10,1,1,1,1
430793,1.0153772702,34,2,2,1,1,4,220,4,2,2,1
430795,0.3513182893,13,1,1,5,2,1,220,4,2,2,3
430795,0.3513182893,13,1,1,5,2,1,220,4,2,2,4
430797,0.3580195814,7,1,1,5,2,1,220,3,1,1,3
430801,0.5404751063,73,1,2,4,1,6,210,2,3,3,1
430814,0.5993448041,75,2,2,4,1,6,210,2,2,2,2
430816,1.0932427782,36,2,2,1,1,4,10,1,2,2,1
430818,0.6094826879,27,2,1,1,1,4,220,4,4,4,3
430829,3.0269949362,44,2,1,1,1,5,210,2,3,3,2
430832,0.6095749,45,2,2,1,1,5,220,5,3,3,2
430836,0.7679048064,68,1,2,1,1,6,220,3,1,1,1
430837,0.635678582,71,1,4,4,1,6,210,2,2,2,1
430845,0.9849936058,38,2,2,1,2,4,220,5,1,1,2
430851,2.1140611185,48,2,2,1,1,5,220,3,1,1,2
430854,0.8009873169,18,2,1,3,2,3,220,5,2,2,3
430856,2.7592908253,27,1,1,1,1,4,10,1,1,1,1
430859,0.5722903465,48,2,2,1,1,5,220,5,1,1,2
430873,0.3157777461,65,2,2,4,1,6,210,2,2,2,2
430874,0.4960481749,56,1,2,1,1,5,210,2,2,2,1
430882,0.7172519135,79,2,3,4,2,6,10,1,0,0,1
430883,1.9116706217,56,1,2,1,1,5,30,4,1,1,1
430884,0.2365870812,40,2,2,1,1,4,220,4,2,2,1
430887,0.3322805585,85,2,1,4,2,6,10,1,0,0,1
430894,0.1851276002,8,1,1,5,2,1,220,5,1,1,4
430897,0.9903176874,25,2,1,1,2,4,10,1,0,0,1
430901,1.6460227882,21,2,1,2,2,3,10,1,0,0,1
430906,0.3717678138,48,2,1,1,1,5,220,4,2,2,2
430908,0.9651447195,31,1,2,1,1,4,210,2,1,1,2
430909,1.0887943241,10,1,1,5,2,1,220,4,1,1,4
430911,1.0564279009,53,1,2,1,1,5,220,5,1,1,1
430912,0.1989666004,57,2,2,1,1,5,220,3,2,2,2
430918,0.217005067,72,2,3,4,1,6,210,2,3,3,2
430922,0.1890973015,55,1,2,1,1,5,210,2,1,1,2
430923,3.0891555612,31,2,1,1,1,4,10,1,1,1,1
430924,0.4147716597,54,2,1,1,1,5,10,1,0,0,1
430926,3.4386561362,55,2,4,1,1,5,10,1,1,1,1
430928,0.6692923249,52,2,2,1,1,5,220,6,3,3,1
430929,0.5043809948,72,2,2,4,1,6,210,2,1,1,2
430931,2.9350934412,59,1,2,1,1,5,210,2,1,1,1
430932,0.234749346,66,1,2,4,2,6,210,2,1,1,1
430936,0.4753588529,34,1,2,1,1,4,220,4,2,2,1
430938,0.3653638918,46,1,2,1,1,5,220,3,3,3,1
430947,0.4416809929,12,1,1,5,2,1,230,3,1,1,3
430949,0.771765288,12,2,1,5,2,1,230,2,0,0,2
430951,0.4591608216,84,2,2,4,2,6,10,1,0,0,1
430953,1.2640809728,45,1,2,1,1,5,10,1,3,3,1
430954,0.8593432322,21,2,1,1,1,3,220,4,2,2,3
430956,0.9551460018,49,1,1,1,2,5,210,2,0,0,2
430958,0.2342261054,68,1,2,4,1,6,210,2,1,1,1
430963,0.9165817258,42,1,2,1,1,4,220,4,2,2,1
430966,0.3846799888,70,2,3,4,1,6,10,1,1,1,1
430967,0.3124423381,68,1,2,4,1,6,210,2,1,1,1
430968,0.5833171791,71,1,2,1,1,6,10,1,1,1,1
430974,0.5629489624,54,2,2,1,1,5,220,3,2,2,1
430975,1.5331146602,25,2,1,1,2,4,30,4,1,1,3
430982,0.4917469238,11,2,1,5,2,1,220,5,3,3,5
430983,1.465963879,72,1,2,4,1,6,210,2,1,1,1
430985,0.3445287759,11,1,1,5,2,1,220,4,2,2,3
430987,0.5115273973,75,1,2,4,1,6,210,2,2,2,1
430989,1.2915684426,54,1,2,1,1,5,210,2,3,3,2
430995,0.7673148501,78,2,2,4,2,6,210,2,1,1,2
430998,0.4200344958,63,2,2,4,1,5,210,2,1,1,2
431001,0.7051356545,75,1,2,4,1,6,210,2,1,1,1
431003,0.5228642139,60,1,4,2,1,5,10,1,1,1,1
431005,0.863702503,88,1,2,4,1,6,210,2,2,2,1
431009,1.6880915742,50,1,2,1,1,5,10,1,1,1,1
431014,0.3606858404,13,2,1,5,2,1,220,4,2,2,3
431017,0.5878666123,39,1,1,1,1,4,10,1,1,1,1
431027,1.3959320518,11,2,1,5,2,1,230,2,1,1,2
431033,1.6855004646,48,1,1,1,1,5,30,4,0,0,1
431037,0.4618772398,64,2,2,4,2,5,210,2,0,0,2
431042,1.2039058719,41,2,2,1,1,4,220,5,2,2,1
431043,0.8196613187,69,1,2,4,1,6,210,2,1,1,1
431047,0.9042263116,56,1,4,1,1,5,10,1,1,1,1
431049,0.8695640679,31,2,1,1,1,4,210,2,1,1,1
431056,0.4793928377,58,1,2,1,2,5,210,2,1,1,2
431059,0.5031811919,47,2,2,1,1,5,220,3,2,2,2
431061,2.049386773,39,1,1,1,1,4,210,2,2,2,1
431063,0.4338189477,73,2,1,4,1,6,30,3,2,2,1
431065,1.8414593851,52,1,2,1,1,5,210,2,2,2,1
431076,0.4919381642,73,1,2,4,1,6,210,2,2,2,1
431078,0.5046162088,7,1,1,5,2,1,220,4,1,1,4
431081,0.2773227858,60,1,3,1,1,5,230,3,1,1,1
431082,0.5757613306,42,2,2,1,1,4,220,4,1,1,2
431084,0.6270193502,83,2,3,4,1,6,210,2,1,1,2
431086,0.8898171655,33,2,1,1,1,4,220,3,2,2,2
431088,1.4468744158,81,1,2,4,2,6,210,2,1,1,1
431089,0.3745842516,8,2,1,5,2,1,220,4,1,1,4
431091,0.6411763941,77,2,2,4,2,6,210,2,0,0,2
431098,0.8829849152,39,1,2,1,1,4,220,5,2,2,1
431104,0.442930324,74,2,4,4,1,6,10,1,1,1,1
431105,2.1591573349,54,2,4,1,1,5,220,3,0,0,2
431108,2.1336244421,44,1,2,1,1,5,220,3,2,2,2
431109,1.1682091597,68,2,2,4,1,6,210,2,2,2,1
431114,1.2214211033,58,1,2,1,1,5,220,4,3,3,1
431119,0.6231497544,70,2,2,4,1,6,210,2,1,1,1
431121,0.8254504185,17,1,1,1,2,2,220,5,2,2,4
431134,1.3618853336,16,1,1,3,2,2,220,4,1,1,3
431137,0.8754290011,30,1,1,1,1,4,210,2,1,1,2
431139,0.3653628337,13,2,1,5,2,1,220,5,3,3,4
431143,1.2816467077,7,1,1,5,2,1,30,6,2,2,6
431144,0.4645120703,19,1,1,1,1,3,220,5,2,2,5
431145,0.6283695321,77,1,3,4,1,6,10,1,1,1,1
431148,0.4205310193,69,1,2,1,1,6,210,2,2,2,2
431149,0.8425244016,18,2,1,3,2,3,220,4,1,1,3
431155,1.2158218378,42,1,2,1,1,4,220,5,2,2,1
431158,1.0187422921,15,2,1,1,2,2,220,4,1,1,3
431164,0.6560741346,49,2,2,1,1,5,210,2,2,2,2
431165,0.7836556655,61,1,2,4,1,5,210,2,1,1,1
431167,1.1997084408,43,1,2,1,1,4,220,4,2,2,1
431172,0.5516789516,37,1,2,1,1,4,220,4,2,2,1
