year;age_m;age_w;count
2007;25 ;61 ;0
2007;25 ;62 ;0
2007;25 ;63 ;0
2007;25 ;64 ;0
2007;25 ;65 ;0
2007;25 ;66 ;0
2007;25 ;67 ;0
2007;25 ;68 ;0
2007;25 ;69 ;0
2007;25 ;70 ;0
2007;25 ;71 ;0
2007;25 ;72 ;0
2007;25 ;73 ;0
2007;25 ;74 ;0
2007;25 ;75 ;0
2007;25 ;76 ;0
2007;25 ;77 ;0
2007;25 ;78 ;0
2007;25 ;79 ;0
2007;25 ;80 ;0
2007;25 ;81 ;0
2007;25 ;82 ;0
2007;25 ;83 ;0
2007;25 ;84 ;0
2007;25 ;85 ;0
2007;25 ;86 ;0
2007;25 ;87 ;0
2007;25 ;88 ;0
2007;25 ;89 ;0
2007;25 ;90 ;0
2007;25 ;91 ;0
2007;25 ;92 ;0
2007;25 ;93 ;0
2007;25 ;94 ;0
2007;25 ;95 ;0
2007;25 ;99 ;0
2007;25 ;100;0
2007;26 ;18 ;10
2007;26 ;19 ;42
2007;26 ;20 ;54
2007;26 ;21 ;78
2007;26 ;22 ;115
2007;26 ;23 ;126
2007;26 ;24 ;195
2007;26 ;25 ;219
2007;26 ;26 ;205
2007;26 ;27 ;118
2007;26 ;28 ;91
2007;26 ;29 ;64
2007;26 ;30 ;44
2007;26 ;31 ;44
2007;26 ;32 ;12
2007;26 ;33 ;24
2007;26 ;34 ;13
2007;26 ;35 ;11
2007;26 ;36 ;6
2007;26 ;37 ;8
2007;26 ;38 ;7
2007;26 ;39 ;6
2007;26 ;40 ;1
2007;26 ;41 ;4
2007;26 ;42 ;2
2007;26 ;43 ;7
2007;26 ;44 ;4
2007;26 ;45 ;0
2007;26 ;46 ;1
2007;26 ;47 ;3
2007;26 ;48 ;1
2007;26 ;49 ;2
2007;26 ;50 ;1
2007;26 ;51 ;0
2007;26 ;52 ;1
2007;26 ;53 ;1
2007;26 ;54 ;0
2007;26 ;55 ;4
2007;26 ;56 ;1
2007;26 ;57 ;0
2007;26 ;58 ;0
2007;26 ;59 ;1
2007;26 ;60 ;0
2007;26 ;61 ;0
2007;26 ;62 ;1
2007;26 ;63 ;0
2007;26 ;64 ;0
2007;26 ;65 ;0
2007;26 ;66 ;0
2007;26 ;67 ;0
2007;26 ;68 ;0
2007;26 ;69 ;0
2007;26 ;70 ;0
2007;26 ;71 ;0
2007;26 ;72 ;0
2007;26 ;73 ;0
2007;26 ;74 ;0
2007;26 ;75 ;0
2007;26 ;76 ;0
2007;26 ;77 ;0
2007;26 ;78 ;0
2007;26 ;79 ;0
2007;26 ;80 ;0
2007;26 ;81 ;0
2007;26 ;82 ;0
2007;26 ;83 ;0
2007;26 ;84 ;0
2007;26 ;85 ;0
2007;26 ;86 ;0
2007;26 ;87 ;0
2007;26 ;88 ;0
2007;26 ;89 ;0
2007;26 ;90 ;0
2007;26 ;91 ;0
2007;26 ;92 ;0
2007;26 ;93 ;0
2007;26 ;94 ;0
2007;26 ;95 ;0
2007;26 ;99 ;0
2007;26 ;100;0
2007;27 ;18 ;9
2007;27 ;19 ;17
2007;27 ;20 ;53
2007;27 ;21 ;79
2007;27 ;22 ;81
2007;27 ;23 ;126
2007;27 ;24 ;155
2007;27 ;25 ;217
2007;27 ;26 ;270
2007;27 ;27 ;218
2007;27 ;28 ;168
2007;27 ;29 ;97
2007;27 ;30 ;70
2007;27 ;31 ;55
2007;27 ;32 ;28
2007;27 ;33 ;24
2007;27 ;34 ;25
2007;27 ;35 ;12
2007;27 ;36 ;11
2007;27 ;37 ;10
2007;27 ;38 ;6
2007;27 ;39 ;8
2007;27 ;40 ;6
2007;27 ;41 ;5
