year;age_group_m;age_group_w;duration;divorces
2000;50-59 years;30-39 years;5-9 years;93
2000;50-59 years;30-39 years;10-14 years;51
2000;50-59 years;30-39 years;15-19 years;19
2000;50-59 years;30-39 years;20 years or more;3
2000;50-59 years;40-49 years;0-4 years;19
2000;50-59 years;40-49 years;5-9 years;84
2000;50-59 years;40-49 years;10-14 years;98
2000;50-59 years;40-49 years;15-19 years;143
2000;50-59 years;40-49 years;20 years or more;349
2000;50-59 years;50-59 years;0-4 years;8
2000;50-59 years;50-59 years;5-9 years;32
2000;50-59 years;50-59 years;10-14 years;41
2000;50-59 years;50-59 years;15-19 years;37
2000;50-59 years;50-59 years;20 years or more;695
2000;50-59 years;60-69 years;0-4 years;1
2000;50-59 years;60-69 years;5-9 years;7
2000;50-59 years;60-69 years;10-14 years;5
2000;50-59 years;60-69 years;15-19 years;9
2000;50-59 years;60-69 years;20 years or more;50
2000;50-59 years;70-79 years;0-4 years;0
2000;50-59 years;70-79 years;5-9 years;0
2000;50-59 years;70-79 years;10-14 years;1
2000;50-59 years;70-79 years;15-19 years;0
2000;50-59 years;70-79 years;20 years or more;2
2000;50-59 years;80-89 years;0-4 years;0
2000;50-59 years;80-89 years;5-9 years;0
2000;50-59 years;80-89 years;10-14 years;0
2000;50-59 years;80-89 years;15-19 years;0
2000;50-59 years;80-89 years;20 years or more;0
2000;50-59 years;90 years or more;0-4 years;0
2000;50-59 years;90 years or more;5-9 years;0
2000;50-59 years;90 years or more;10-14 years;0
2000;50-59 years;90 years or more;15-19 years;0
2000;50-59 years;90 years or more;20 years or more;0
2000;60-69 years;Less than 20 years;0-4 years;0
2000;60-69 years;Less than 20 years;5-9 years;0
2000;60-69 years;Less than 20 years;10-14 years;0
2000;60-69 years;Less than 20 years;15-19 years;0
2000;60-69 years;Less than 20 years;20 years or more;0
2000;60-69 years;20-29 years;0-4 years;4
2000;60-69 years;20-29 years;5-9 years;0
2000;60-69 years;20-29 years;10-14 years;0
2000;60-69 years;20-29 years;15-19 years;0
2000;60-69 years;20-29 years;20 years or more;0
2000;60-69 years;30-39 years;0-4 years;6
2000;60-69 years;30-39 years;5-9 years;17
2000;60-69 years;30-39 years;10-14 years;3
2000;60-69 years;30-39 years;15-19 years;0
2000;60-69 years;30-39 years;20 years or more;0
2000;60-69 years;40-49 years;0-4 years;6
2000;60-69 years;40-49 years;5-9 years;22
2000;60-69 years;40-49 years;10-14 years;9
2000;60-69 years;40-49 years;15-19 years;8
2000;60-69 years;40-49 years;20 years or more;16
2000;60-69 years;50-59 years;0-4 years;4
2000;60-69 years;50-59 years;5-9 years;17
2000;60-69 years;50-59 years;10-14 years;18
2000;60-69 years;50-59 years;15-19 years;4
2000;60-69 years;50-59 years;20 years or more;146
2000;60-69 years;60-69 years;0-4 years;1
2000;60-69 years;60-69 years;5-9 years;5
2000;60-69 years;60-69 years;10-14 years;8
2000;60-69 years;60-69 years;15-19 years;5
2000;60-69 years;60-69 years;20 years or more;180
2000;60-69 years;70-79 years;0-4 years;0
2000;60-69 years;70-79 years;5-9 years;0
2000;60-69 years;70-79 years;10-14 years;1
2000;60-69 years;70-79 years;15-19 years;1
2000;60-69 years;70-79 years;20 years or more;19
2000;60-69 years;80-89 years;0-4 years;0
2000;60-69 years;80-89 years;5-9 years;0
2000;60-69 years;80-89 years;10-14 years;0
2000;60-69 years;80-89 years;15-19 years;0
2000;60-69 years;80-89 years;20 years or more;2
2000;60-69 years;90 years or more;0-4 years;0
2000;60-69 years;90 years or more;5-9 years;0
2000;60-69 years;90 years or more;10-14 years;0
2000;60-69 years;90 years or more;15-19 years;0
2000;60-69 years;90 years or more;20 years or more;0
2000;70-79 years;Less than 20 years;0-4 years;0
2000;70-79 years;Less than 20 years;5-9 years;0
2000;70-79 years;Less than 20 years;10-14 years;0
2000;70-79 years;Less than 20 years;15-19 years;0
2000;70-79 years;Less than 20 years;20 years or more;0
2000;70-79 years;20-29 years;0-4 years;1
2000;70-79 years;20-29 years;5-9 years;0
2000;70-79 years;20-29 years;10-14 years;0
2000;70-79 years;20-29 years;15-19 years;0
2000;70-79 years;20-29 years;20 years or more;0
2000;70-79 years;30-39 years;0-4 years;0
2000;70-79 years;30-39 years;5-9 years;4
2000;70-79 years;30-39 years;10-14 years;0
2000;70-79 years;30-39 years;15-19 years;2
2000;70-79 years;30-39 years;20 years or more;0
2000;70-79 years;40-49 years;0-4 years;0
