year;age_group_m;age_group_w;duration;divorces
2012;60-69 years;70-79 years;5-9 years;0
2012;60-69 years;70-79 years;10-14 years;0
2012;60-69 years;70-79 years;15-19 years;2
2012;60-69 years;70-79 years;20 years or more;26
2012;60-69 years;80-89 years;0-4 years;0
2012;60-69 years;80-89 years;5-9 years;0
2012;60-69 years;80-89 years;10-14 years;1
2012;60-69 years;80-89 years;15-19 years;0
2012;60-69 years;80-89 years;20 years or more;2
2012;60-69 years;90 years or more;0-4 years;0
2012;60-69 years;90 years or more;5-9 years;0
2012;60-69 years;90 years or more;10-14 years;0
2012;60-69 years;90 years or more;15-19 years;0
2012;60-69 years;90 years or more;20 years or more;0
2012;70-79 years;Less than 20 years;0-4 years;0
2012;70-79 years;Less than 20 years;5-9 years;0
2012;70-79 years;Less than 20 years;10-14 years;0
2012;70-79 years;Less than 20 years;15-19 years;0
2012;70-79 years;Less than 20 years;20 years or more;0
2012;70-79 years;20-29 years;0-4 years;0
2012;70-79 years;20-29 years;5-9 years;3
2012;70-79 years;20-29 years;10-14 years;0
2012;70-79 years;20-29 years;15-19 years;0
2012;70-79 years;20-29 years;20 years or more;0
2012;70-79 years;30-39 years;0-4 years;2
2012;70-79 years;30-39 years;5-9 years;5
2012;70-79 years;30-39 years;10-14 years;3
2012;70-79 years;30-39 years;15-19 years;0
2012;70-79 years;30-39 years;20 years or more;0
2012;70-79 years;40-49 years;0-4 years;2
2012;70-79 years;40-49 years;5-9 years;13
2012;70-79 years;40-49 years;10-14 years;9
2012;70-79 years;40-49 years;15-19 years;5
2012;70-79 years;40-49 years;20 years or more;3
2012;70-79 years;50-59 years;0-4 years;2
2012;70-79 years;50-59 years;5-9 years;9
2012;70-79 years;50-59 years;10-14 years;11
2012;70-79 years;50-59 years;15-19 years;4
2012;70-79 years;50-59 years;20 years or more;32
2012;70-79 years;60-69 years;0-4 years;3
2012;70-79 years;60-69 years;5-9 years;5
2012;70-79 years;60-69 years;10-14 years;7
2012;70-79 years;60-69 years;15-19 years;7
2012;70-79 years;60-69 years;20 years or more;80
2012;70-79 years;70-79 years;0-4 years;1
2012;70-79 years;70-79 years;5-9 years;1
2012;70-79 years;70-79 years;10-14 years;0
2012;70-79 years;70-79 years;15-19 years;4
2012;70-79 years;70-79 years;20 years or more;67
2012;70-79 years;80-89 years;0-4 years;0
2012;70-79 years;80-89 years;5-9 years;0
2012;70-79 years;80-89 years;10-14 years;0
2012;70-79 years;80-89 years;15-19 years;0
2012;70-79 years;80-89 years;20 years or more;5
2012;70-79 years;90 years or more;0-4 years;0
2012;70-79 years;90 years or more;5-9 years;0
2012;70-79 years;90 years or more;10-14 years;0
2012;70-79 years;90 years or more;15-19 years;0
2012;70-79 years;90 years or more;20 years or more;0
2012;80-89 years;Less than 20 years;0-4 years;0
2012;80-89 years;Less than 20 years;5-9 years;0
2012;80-89 years;Less than 20 years;10-14 years;0
2012;80-89 years;Less than 20 years;15-19 years;0
2012;80-89 years;Less than 20 years;20 years or more;0
2012;80-89 years;20-29 years;0-4 years;0
2012;80-89 years;20-29 years;5-9 years;0
2012;80-89 years;20-29 years;10-14 years;0
2012;80-89 years;20-29 years;15-19 years;0
2012;80-89 years;20-29 years;20 years or more;0
2012;80-89 years;30-39 years;0-4 years;0
2012;80-89 years;30-39 years;5-9 years;0
2012;80-89 years;30-39 years;10-14 years;0
2012;80-89 years;30-39 years;15-19 years;0
2012;80-89 years;30-39 years;20 years or more;0
2012;80-89 years;40-49 years;0-4 years;1
2012;80-89 years;40-49 years;5-9 years;2
2012;80-89 years;40-49 years;10-14 years;1
2012;80-89 years;40-49 years;15-19 years;1
2012;80-89 years;40-49 years;20 years or more;0
2012;80-89 years;50-59 years;0-4 years;1
2012;80-89 years;50-59 years;5-9 years;0
2012;80-89 years;50-59 years;10-14 years;0
2012;80-89 years;50-59 years;15-19 years;0
2012;80-89 years;50-59 years;20 years or more;1
2012;80-89 years;60-69 years;0-4 years;1
2012;80-89 years;60-69 years;5-9 years;1
2012;80-89 years;60-69 years;10-14 years;1
2012;80-89 years;60-69 years;15-19 years;0
2012;80-89 years;60-69 years;20 years or more;3
2012;80-89 years;70-79 years;0-4 years;0
2012;80-89 years;70-79 years;5-9 years;0
2012;80-89 years;70-79 years;10-14 years;0
2012;80-89 years;70-79 years;15-19 years;0
2012;80-89 years;70-79 years;20 years or more;13
2012;80-89 years;80-89 years;0-4 years;0
2012;80-89 years;80-89 years;5-9 years;0
2012;80-89 years;80-89 years;10-14 years;0
2012;80-89 years;80-89 years;15-19 years;0
2012;80-89 years;80-89 years;20 years or more;6
2012;80-89 years;90 years or more;0-4 years;0
2012;80-89 years;90 years or more;5-9 years;0
2012;80-89 years;90 years or more;10-14 years;0
2012;80-89 years;90 years or more;15-19 years;0
2012;80-89 years;90 years or more;20 years or more;0
2012;90 years or more;Less than 20 years;0-4 years;0
2012;90 years or more;Less than 20 years;5-9 years;0
2012;90 years or more;Less than 20 years;10-14 years;0
2012;90 years or more;Less than 20 years;15-19 years;0
2012;90 years or more;Less than 20 years;20 years or more;0
2012;90 years or more;20-29 years;0-4 years;0
2012;90 years or more;20-29 years;5-9 years;0
2012;90 years or more;20-29 years;10-14 years;0
2012;90 years or more;20-29 years;15-19 years;0
2012;90 years or more;20-29 years;20 years or more;0
2012;90 years or more;30-39 years;0-4 years;0
2012;90 years or more;30-39 years;5-9 years;0
2012;90 years or more;30-39 years;10-14 years;0
2012;90 years or more;30-39 years;15-19 years;0
2012;90 years or more;30-39 years;20 years or more;0
2012;90 years or more;40-49 years;0-4 years;0
2012;90 years or more;40-49 years;5-9 years;0
2012;90 years or more;40-49 years;10-14 years;0
2012;90 years or more;40-49 years;15-19 years;0
2012;90 years or more;40-49 years;20 years or more;0
2012;90 years or more;50-59 years;0-4 years;0
2012;90 years or more;50-59 years;5-9 years;0
2012;90 years or more;50-59 years;10-14 years;0
2012;90 years or more;50-59 years;15-19 years;0
2012;90 years or more;50-59 years;20 years or more;0
2012;90 years or more;60-69 years;0-4 years;0
2012;90 years or more;60-69 years;5-9 years;0
2012;90 years or more;60-69 years;10-14 years;0
2012;90 years or more;60-69 years;15-19 years;0
2012;90 years or more;60-69 years;20 years or more;0
2012;90 years or more;70-79 years;0-4 years;0
2012;90 years or more;70-79 years;5-9 years;0
2012;90 years or more;70-79 years;10-14 years;0
2012;90 years or more;70-79 years;15-19 years;0
2012;90 years or more;70-79 years;20 years or more;0
2012;90 years or more;80-89 years;0-4 years;0
2012;90 years or more;80-89 years;5-9 years;0
2012;90 years or more;80-89 years;10-14 years;0
2012;90 years or more;80-89 years;15-19 years;0
2012;90 years or more;80-89 years;20 years or more;0
2012;90 years or more;90 years or more;0-4 years;0
2012;90 years or more;90 years or more;5-9 years;0
2012;90 years or more;90 years or more;10-14 years;0
2012;90 years or more;90 years or more;15-19 years;0
2012;90 years or more;90 years or more;20 years or more;0
2013;Less than 20 years;Less than 20 years;0-4 years;0
2013;Less than 20 years;Less than 20 years;5-9 years;0
2013;Less than 20 years;Less than 20 years;10-14 years;0
2013;Less than 20 years;Less than 20 years;15-19 years;0
2013;Less than 20 years;Less than 20 years;20 years or more;0
2013;Less than 20 years;20-29 years;0-4 years;2
2013;Less than 20 years;20-29 years;5-9 years;0
2013;Less than 20 years;20-29 years;10-14 years;0
2013;Less than 20 years;20-29 years;15-19 years;0
2013;Less than 20 years;20-29 years;20 years or more;0
2013;Less than 20 years;30-39 years;0-4 years;0
2013;Less than 20 years;30-39 years;5-9 years;0
2013;Less than 20 years;30-39 years;10-14 years;0
2013;Less than 20 years;30-39 years;15-19 years;0
2013;Less than 20 years;30-39 years;20 years or more;0
2013;Less than 20 years;40-49 years;0-4 years;0
2013;Less than 20 years;40-49 years;5-9 years;0
2013;Less than 20 years;40-49 years;10-14 years;0
2013;Less than 20 years;40-49 years;15-19 years;0
2013;Less than 20 years;40-49 years;20 years or more;0
2013;Less than 20 years;50-59 years;0-4 years;0
2013;Less than 20 years;50-59 years;5-9 years;0
2013;Less than 20 years;50-59 years;10-14 years;0
2013;Less than 20 years;50-59 years;15-19 years;0
2013;Less than 20 years;50-59 years;20 years or more;0
2013;Less than 20 years;60-69 years;0-4 years;0
2013;Less than 20 years;60-69 years;5-9 years;0
2013;Less than 20 years;60-69 years;10-14 years;0
2013;Less than 20 years;60-69 years;15-19 years;0
2013;Less than 20 years;60-69 years;20 years or more;0
2013;Less than 20 years;70-79 years;0-4 years;0
2013;Less than 20 years;70-79 years;5-9 years;0
2013;Less than 20 years;70-79 years;10-14 years;0
2013;Less than 20 years;70-79 years;15-19 years;0
2013;Less than 20 years;70-79 years;20 years or more;0
2013;Less than 20 years;80-89 years;0-4 years;0
2013;Less than 20 years;80-89 years;5-9 years;0
2013;Less than 20 years;80-89 years;10-14 years;0
2013;Less than 20 years;80-89 years;15-19 years;0
2013;Less than 20 years;80-89 years;20 years or more;0
2013;Less than 20 years;90 years or more;0-4 years;0
2013;Less than 20 years;90 years or more;5-9 years;0
2013;Less than 20 years;90 years or more;10-14 years;0
2013;Less than 20 years;90 years or more;15-19 years;0
2013;Less than 20 years;90 years or more;20 years or more;0
2013;20-29 years;Less than 20 years;0-4 years;6
2013;20-29 years;Less than 20 years;5-9 years;0
2013;20-29 years;Less than 20 years;10-14 years;0
2013;20-29 years;Less than 20 years;15-19 years;0
2013;20-29 years;Less than 20 years;20 years or more;0
2013;20-29 years;20-29 years;0-4 years;384
2013;20-29 years;20-29 years;5-9 years;220
2013;20-29 years;20-29 years;10-14 years;6
2013;20-29 years;20-29 years;15-19 years;0
2013;20-29 years;20-29 years;20 years or more;0
2013;20-29 years;30-39 years;0-4 years;82
2013;20-29 years;30-39 years;5-9 years;104
2013;20-29 years;30-39 years;10-14 years;1
2013;20-29 years;30-39 years;15-19 years;0
2013;20-29 years;30-39 years;20 years or more;0
2013;20-29 years;40-49 years;0-4 years;16
2013;20-29 years;40-49 years;5-9 years;16
2013;20-29 years;40-49 years;10-14 years;0
2013;20-29 years;40-49 years;15-19 years;0
2013;20-29 years;40-49 years;20 years or more;0
2013;20-29 years;50-59 years;0-4 years;2
2013;20-29 years;50-59 years;5-9 years;3
2013;20-29 years;50-59 years;10-14 years;0
2013;20-29 years;50-59 years;15-19 years;0
2013;20-29 years;50-59 years;20 years or more;0
2013;20-29 years;60-69 years;0-4 years;0
2013;20-29 years;60-69 years;5-9 years;0
2013;20-29 years;60-69 years;10-14 years;0
2013;20-29 years;60-69 years;15-19 years;0
2013;20-29 years;60-69 years;20 years or more;0
2013;20-29 years;70-79 years;0-4 years;0
2013;20-29 years;70-79 years;5-9 years;0
2013;20-29 years;70-79 years;10-14 years;0
2013;20-29 years;70-79 years;15-19 years;0
2013;20-29 years;70-79 years;20 years or more;0
2013;20-29 years;80-89 years;0-4 years;0
2013;20-29 years;80-89 years;5-9 years;0
2013;20-29 years;80-89 years;10-14 years;0
2013;20-29 years;80-89 years;15-19 years;0
2013;20-29 years;80-89 years;20 years or more;0
2013;20-29 years;90 years or more;0-4 years;0
2013;20-29 years;90 years or more;5-9 years;0
2013;20-29 years;90 years or more;10-14 years;0
2013;20-29 years;90 years or more;15-19 years;0
2013;20-29 years;90 years or more;20 years or more;0
2013;30-39 years;Less than 20 years;0-4 years;0
2013;30-39 years;Less than 20 years;5-9 years;0
2013;30-39 years;Less than 20 years;10-14 years;0
2013;30-39 years;Less than 20 years;15-19 years;0
2013;30-39 years;Less than 20 years;20 years or more;0
2013;30-39 years;20-29 years;0-4 years;316
2013;30-39 years;20-29 years;5-9 years;434
2013;30-39 years;20-29 years;10-14 years;30
2013;30-39 years;20-29 years;15-19 years;0
2013;30-39 years;20-29 years;20 years or more;0
2013;30-39 years;30-39 years;0-4 years;500
2013;30-39 years;30-39 years;5-9 years;1198
2013;30-39 years;30-39 years;10-14 years;619
2013;30-39 years;30-39 years;15-19 years;93
2013;30-39 years;30-39 years;20 years or more;3
2013;30-39 years;40-49 years;0-4 years;79
2013;30-39 years;40-49 years;5-9 years;269
2013;30-39 years;40-49 years;10-14 years;159
2013;30-39 years;40-49 years;15-19 years;31
2013;30-39 years;40-49 years;20 years or more;0
2013;30-39 years;50-59 years;0-4 years;19
2013;30-39 years;50-59 years;5-9 years;124
2013;30-39 years;50-59 years;10-14 years;33
2013;30-39 years;50-59 years;15-19 years;0
2013;30-39 years;50-59 years;20 years or more;0
2013;30-39 years;60-69 years;0-4 years;1
2013;30-39 years;60-69 years;5-9 years;20
2013;30-39 years;60-69 years;10-14 years;14
2013;30-39 years;60-69 years;15-19 years;2
2013;30-39 years;60-69 years;20 years or more;0
2013;30-39 years;70-79 years;0-4 years;0
2013;30-39 years;70-79 years;5-9 years;3
2013;30-39 years;70-79 years;10-14 years;0
2013;30-39 years;70-79 years;15-19 years;0
2013;30-39 years;70-79 years;20 years or more;0
2013;30-39 years;80-89 years;0-4 years;0
2013;30-39 years;80-89 years;5-9 years;0
2013;30-39 years;80-89 years;10-14 years;0
2013;30-39 years;80-89 years;15-19 years;0
2013;30-39 years;80-89 years;20 years or more;0
2013;30-39 years;90 years or more;0-4 years;0
2013;30-39 years;90 years or more;5-9 years;0
2013;30-39 years;90 years or more;10-14 years;0
2013;30-39 years;90 years or more;15-19 years;0
2013;30-39 years;90 years or more;20 years or more;0
2013;40-49 years;Less than 20 years;0-4 years;0
2013;40-49 years;Less than 20 years;5-9 years;0
2013;40-49 years;Less than 20 years;10-14 years;0
2013;40-49 years;Less than 20 years;15-19 years;0
2013;40-49 years;Less than 20 years;20 years or more;0
2013;40-49 years;20-29 years;0-4 years;41
2013;40-49 years;20-29 years;5-9 years;74
2013;40-49 years;20-29 years;10-14 years;2
2013;40-49 years;20-29 years;15-19 years;0
2013;40-49 years;20-29 years;20 years or more;0
2013;40-49 years;30-39 years;0-4 years;190
2013;40-49 years;30-39 years;5-9 years;672
2013;40-49 years;30-39 years;10-14 years;585
2013;40-49 years;30-39 years;15-19 years;188
2013;40-49 years;30-39 years;20 years or more;13
2013;40-49 years;40-49 years;0-4 years;140
2013;40-49 years;40-49 years;5-9 years;530
2013;40-49 years;40-49 years;10-14 years;893
2013;40-49 years;40-49 years;15-19 years;1076
2013;40-49 years;40-49 years;20 years or more;869
2013;40-49 years;50-59 years;0-4 years;40
2013;40-49 years;50-59 years;5-9 years;122
2013;40-49 years;50-59 years;10-14 years;98
2013;40-49 years;50-59 years;15-19 years;122
2013;40-49 years;50-59 years;20 years or more;174
2013;40-49 years;60-69 years;0-4 years;0
2013;40-49 years;60-69 years;5-9 years;43
2013;40-49 years;60-69 years;10-14 years;27
2013;40-49 years;60-69 years;15-19 years;8
2013;40-49 years;60-69 years;20 years or more;5
2013;40-49 years;70-79 years;0-4 years;1
2013;40-49 years;70-79 years;5-9 years;3
2013;40-49 years;70-79 years;10-14 years;4
2013;40-49 years;70-79 years;15-19 years;0
2013;40-49 years;70-79 years;20 years or more;2
2013;40-49 years;80-89 years;0-4 years;0
2013;40-49 years;80-89 years;5-9 years;0
2013;40-49 years;80-89 years;10-14 years;0
2013;40-49 years;80-89 years;15-19 years;0
2013;40-49 years;80-89 years;20 years or more;0
2013;40-49 years;90 years or more;0-4 years;0
2013;40-49 years;90 years or more;5-9 years;0
2013;40-49 years;90 years or more;10-14 years;0
2013;40-49 years;90 years or more;15-19 years;0
2013;40-49 years;90 years or more;20 years or more;0
2013;50-59 years;Less than 20 years;0-4 years;0
2013;50-59 years;Less than 20 years;5-9 years;0
2013;50-59 years;Less than 20 years;10-14 years;0
2013;50-59 years;Less than 20 years;15-19 years;0
2013;50-59 years;Less than 20 years;20 years or more;0
2013;50-59 years;20-29 years;0-4 years;18
2013;50-59 years;20-29 years;5-9 years;28
2013;50-59 years;20-29 years;10-14 years;2
2013;50-59 years;20-29 years;15-19 years;0
2013;50-59 years;20-29 years;20 years or more;0
2013;50-59 years;30-39 years;0-4 years;35
2013;50-59 years;30-39 years;5-9 years;169
2013;50-59 years;30-39 years;10-14 years;122
2013;50-59 years;30-39 years;15-19 years;27
2013;50-59 years;30-39 years;20 years or more;6
2013;50-59 years;40-49 years;0-4 years;70
2013;50-59 years;40-49 years;5-9 years;186
2013;50-59 years;40-49 years;10-14 years;276
2013;50-59 years;40-49 years;15-19 years;365
2013;50-59 years;40-49 years;20 years or more;753
2013;50-59 years;50-59 years;0-4 years;55
2013;50-59 years;50-59 years;5-9 years;112
2013;50-59 years;50-59 years;10-14 years;124
2013;50-59 years;50-59 years;15-19 years;202
2013;50-59 years;50-59 years;20 years or more;1670
2013;50-59 years;60-69 years;0-4 years;3
2013;50-59 years;60-69 years;5-9 years;20
2013;50-59 years;60-69 years;10-14 years;12
2013;50-59 years;60-69 years;15-19 years;11
2013;50-59 years;60-69 years;20 years or more;137
2013;50-59 years;70-79 years;0-4 years;0
2013;50-59 years;70-79 years;5-9 years;2
2013;50-59 years;70-79 years;10-14 years;3
2013;50-59 years;70-79 years;15-19 years;2
2013;50-59 years;70-79 years;20 years or more;6
2013;50-59 years;80-89 years;0-4 years;0
2013;50-59 years;80-89 years;5-9 years;1
2013;50-59 years;80-89 years;10-14 years;0
2013;50-59 years;80-89 years;15-19 years;0
2013;50-59 years;80-89 years;20 years or more;0
2013;50-59 years;90 years or more;0-4 years;0
2013;50-59 years;90 years or more;5-9 years;0
2013;50-59 years;90 years or more;10-14 years;0
2013;50-59 years;90 years or more;15-19 years;0
2013;50-59 years;90 years or more;20 years or more;0
2013;60-69 years;Less than 20 years;0-4 years;0
2013;60-69 years;Less than 20 years;5-9 years;0
2013;60-69 years;Less than 20 years;10-14 years;0
2013;60-69 years;Less than 20 years;15-19 years;0
2013;60-69 years;Less than 20 years;20 years or more;0
2013;60-69 years;20-29 years;0-4 years;3
2013;60-69 years;20-29 years;5-9 years;3
2013;60-69 years;20-29 years;10-14 years;0
2013;60-69 years;20-29 years;15-19 years;0
2013;60-69 years;20-29 years;20 years or more;0
2013;60-69 years;30-39 years;0-4 years;13
2013;60-69 years;30-39 years;5-9 years;57
2013;60-69 years;30-39 years;10-14 years;21
2013;60-69 years;30-39 years;15-19 years;4
2013;60-69 years;30-39 years;20 years or more;0
2013;60-69 years;40-49 years;0-4 years;16
2013;60-69 years;40-49 years;5-9 years;56
2013;60-69 years;40-49 years;10-14 years;52
2013;60-69 years;40-49 years;15-19 years;42
2013;60-69 years;40-49 years;20 years or more;63
2013;60-69 years;50-59 years;0-4 years;20
2013;60-69 years;50-59 years;5-9 years;39
2013;60-69 years;50-59 years;10-14 years;46
2013;60-69 years;50-59 years;15-19 years;47
2013;60-69 years;50-59 years;20 years or more;497
2013;60-69 years;60-69 years;0-4 years;11
2013;60-69 years;60-69 years;5-9 years;19
2013;60-69 years;60-69 years;10-14 years;24
2013;60-69 years;60-69 years;15-19 years;27
2013;60-69 years;60-69 years;20 years or more;541
2013;60-69 years;70-79 years;0-4 years;2
2013;60-69 years;70-79 years;5-9 years;2
2013;60-69 years;70-79 years;10-14 years;2
2013;60-69 years;70-79 years;15-19 years;1
2013;60-69 years;70-79 years;20 years or more;31
2013;60-69 years;80-89 years;0-4 years;0
2013;60-69 years;80-89 years;5-9 years;0
2013;60-69 years;80-89 years;10-14 years;0
2013;60-69 years;80-89 years;15-19 years;0
2013;60-69 years;80-89 years;20 years or more;0
2013;60-69 years;90 years or more;0-4 years;0
2013;60-69 years;90 years or more;5-9 years;0
2013;60-69 years;90 years or more;10-14 years;0
2013;60-69 years;90 years or more;15-19 years;0
2013;60-69 years;90 years or more;20 years or more;0
2013;70-79 years;Less than 20 years;0-4 years;0
2013;70-79 years;Less than 20 years;5-9 years;0
2013;70-79 years;Less than 20 years;10-14 years;0
2013;70-79 years;Less than 20 years;15-19 years;0
2013;70-79 years;Less than 20 years;20 years or more;0
2013;70-79 years;20-29 years;0-4 years;0
2013;70-79 years;20-29 years;5-9 years;1
2013;70-79 years;20-29 years;10-14 years;0
2013;70-79 years;20-29 years;15-19 years;0
2013;70-79 years;20-29 years;20 years or more;0
2013;70-79 years;30-39 years;0-4 years;5
2013;70-79 years;30-39 years;5-9 years;7
2013;70-79 years;30-39 years;10-14 years;6
2013;70-79 years;30-39 years;15-19 years;0
2013;70-79 years;30-39 years;20 years or more;0
2013;70-79 years;40-49 years;0-4 years;2
2013;70-79 years;40-49 years;5-9 years;7
2013;70-79 years;40-49 years;10-14 years;5
2013;70-79 years;40-49 years;15-19 years;7
2013;70-79 years;40-49 years;20 years or more;4
2013;70-79 years;50-59 years;0-4 years;3
2013;70-79 years;50-59 years;5-9 years;7
2013;70-79 years;50-59 years;10-14 years;16
2013;70-79 years;50-59 years;15-19 years;6
2013;70-79 years;50-59 years;20 years or more;32
2013;70-79 years;60-69 years;0-4 years;1
2013;70-79 years;60-69 years;5-9 years;5
2013;70-79 years;60-69 years;10-14 years;9
2013;70-79 years;60-69 years;15-19 years;11
2013;70-79 years;60-69 years;20 years or more;106
2013;70-79 years;70-79 years;0-4 years;2
2013;70-79 years;70-79 years;5-9 years;3
2013;70-79 years;70-79 years;10-14 years;1
2013;70-79 years;70-79 years;15-19 years;0
2013;70-79 years;70-79 years;20 years or more;65
2013;70-79 years;80-89 years;0-4 years;0
2013;70-79 years;80-89 years;5-9 years;0
2013;70-79 years;80-89 years;10-14 years;1
2013;70-79 years;80-89 years;15-19 years;0
2013;70-79 years;80-89 years;20 years or more;5
2013;70-79 years;90 years or more;0-4 years;0
2013;70-79 years;90 years or more;5-9 years;0
2013;70-79 years;90 years or more;10-14 years;0
2013;70-79 years;90 years or more;15-19 years;0
2013;70-79 years;90 years or more;20 years or more;0
2013;80-89 years;Less than 20 years;0-4 years;0
2013;80-89 years;Less than 20 years;5-9 years;0
2013;80-89 years;Less than 20 years;10-14 years;0
2013;80-89 years;Less than 20 years;15-19 years;0
2013;80-89 years;Less than 20 years;20 years or more;0
2013;80-89 years;20-29 years;0-4 years;0
2013;80-89 years;20-29 years;5-9 years;0
2013;80-89 years;20-29 years;10-14 years;0
2013;80-89 years;20-29 years;15-19 years;0
2013;80-89 years;20-29 years;20 years or more;0
2013;80-89 years;30-39 years;0-4 years;1
2013;80-89 years;30-39 years;5-9 years;0
2013;80-89 years;30-39 years;10-14 years;1
2013;80-89 years;30-39 years;15-19 years;0
2013;80-89 years;30-39 years;20 years or more;0
2013;80-89 years;40-49 years;0-4 years;0
2013;80-89 years;40-49 years;5-9 years;2
2013;80-89 years;40-49 years;10-14 years;1
2013;80-89 years;40-49 years;15-19 years;0
2013;80-89 years;40-49 years;20 years or more;0
2013;80-89 years;50-59 years;0-4 years;0
2013;80-89 years;50-59 years;5-9 years;0
2013;80-89 years;50-59 years;10-14 years;1
2013;80-89 years;50-59 years;15-19 years;1
2013;80-89 years;50-59 years;20 years or more;2
2013;80-89 years;60-69 years;0-4 years;0
2013;80-89 years;60-69 years;5-9 years;2
2013;80-89 years;60-69 years;10-14 years;3
2013;80-89 years;60-69 years;15-19 years;0
2013;80-89 years;60-69 years;20 years or more;5
2013;80-89 years;70-79 years;0-4 years;0
2013;80-89 years;70-79 years;5-9 years;0
2013;80-89 years;70-79 years;10-14 years;0
2013;80-89 years;70-79 years;15-19 years;2
2013;80-89 years;70-79 years;20 years or more;4
2013;80-89 years;80-89 years;0-4 years;0
2013;80-89 years;80-89 years;5-9 years;0
2013;80-89 years;80-89 years;10-14 years;0
2013;80-89 years;80-89 years;15-19 years;1
2013;80-89 years;80-89 years;20 years or more;6
2013;80-89 years;90 years or more;0-4 years;0
2013;80-89 years;90 years or more;5-9 years;0
2013;80-89 years;90 years or more;10-14 years;0
2013;80-89 years;90 years or more;15-19 years;0
2013;80-89 years;90 years or more;20 years or more;0
2013;90 years or more;Less than 20 years;0-4 years;0
2013;90 years or more;Less than 20 years;5-9 years;0
2013;90 years or more;Less than 20 years;10-14 years;0
2013;90 years or more;Less than 20 years;15-19 years;0
2013;90 years or more;Less than 20 years;20 years or more;0
2013;90 years or more;20-29 years;0-4 years;0
2013;90 years or more;20-29 years;5-9 years;0
2013;90 years or more;20-29 years;10-14 years;0
2013;90 years or more;20-29 years;15-19 years;0
2013;90 years or more;20-29 years;20 years or more;0
2013;90 years or more;30-39 years;0-4 years;0
2013;90 years or more;30-39 years;5-9 years;0
2013;90 years or more;30-39 years;10-14 years;0
2013;90 years or more;30-39 years;15-19 years;0
2013;90 years or more;30-39 years;20 years or more;0
2013;90 years or more;40-49 years;0-4 years;0
2013;90 years or more;40-49 years;5-9 years;0
2013;90 years or more;40-49 years;10-14 years;0
2013;90 years or more;40-49 years;15-19 years;0
2013;90 years or more;40-49 years;20 years or more;0
2013;90 years or more;50-59 years;0-4 years;0
2013;90 years or more;50-59 years;5-9 years;0
2013;90 years or more;50-59 years;10-14 years;0
2013;90 years or more;50-59 years;15-19 years;0
2013;90 years or more;50-59 years;20 years or more;0
2013;90 years or more;60-69 years;0-4 years;0
2013;90 years or more;60-69 years;5-9 years;0
2013;90 years or more;60-69 years;10-14 years;0
2013;90 years or more;60-69 years;15-19 years;1
2013;90 years or more;60-69 years;20 years or more;0
2013;90 years or more;70-79 years;0-4 years;0
2013;90 years or more;70-79 years;5-9 years;0
2013;90 years or more;70-79 years;10-14 years;0
2013;90 years or more;70-79 years;15-19 years;0
2013;90 years or more;70-79 years;20 years or more;0
2013;90 years or more;80-89 years;0-4 years;0
2013;90 years or more;80-89 years;5-9 years;0
2013;90 years or more;80-89 years;10-14 years;0
2013;90 years or more;80-89 years;15-19 years;0
2013;90 years or more;80-89 years;20 years or more;2
2013;90 years or more;90 years or more;0-4 years;0
2013;90 years or more;90 years or more;5-9 years;0
2013;90 years or more;90 years or more;10-14 years;0
2013;90 years or more;90 years or more;15-19 years;0
2013;90 years or more;90 years or more;20 years or more;0
2014;Less than 20 years;Less than 20 years;0-4 years;0
2014;Less than 20 years;Less than 20 years;5-9 years;0
2014;Less than 20 years;Less than 20 years;10-14 years;0
2014;Less than 20 years;Less than 20 years;15-19 years;0
2014;Less than 20 years;Less than 20 years;20 years or more;0
2014;Less than 20 years;20-29 years;0-4 years;0
2014;Less than 20 years;20-29 years;5-9 years;0
2014;Less than 20 years;20-29 years;10-14 years;0
2014;Less than 20 years;20-29 years;15-19 years;0
2014;Less than 20 years;20-29 years;20 years or more;0
2014;Less than 20 years;30-39 years;0-4 years;0
2014;Less than 20 years;30-39 years;5-9 years;0
2014;Less than 20 years;30-39 years;10-14 years;0
2014;Less than 20 years;30-39 years;15-19 years;0
2014;Less than 20 years;30-39 years;20 years or more;0
2014;Less than 20 years;40-49 years;0-4 years;0
2014;Less than 20 years;40-49 years;5-9 years;0
2014;Less than 20 years;40-49 years;10-14 years;0
2014;Less than 20 years;40-49 years;15-19 years;0
2014;Less than 20 years;40-49 years;20 years or more;0
2014;Less than 20 years;50-59 years;0-4 years;0
2014;Less than 20 years;50-59 years;5-9 years;0
2014;Less than 20 years;50-59 years;10-14 years;0
2014;Less than 20 years;50-59 years;15-19 years;0
2014;Less than 20 years;50-59 years;20 years or more;0
2014;Less than 20 years;60-69 years;0-4 years;0
2014;Less than 20 years;60-69 years;5-9 years;0
2014;Less than 20 years;60-69 years;10-14 years;0
2014;Less than 20 years;60-69 years;15-19 years;0
2014;Less than 20 years;60-69 years;20 years or more;0
2014;Less than 20 years;70-79 years;0-4 years;0
2014;Less than 20 years;70-79 years;5-9 years;0
2014;Less than 20 years;70-79 years;10-14 years;0
2014;Less than 20 years;70-79 years;15-19 years;0
2014;Less than 20 years;70-79 years;20 years or more;0
2014;Less than 20 years;80-89 years;0-4 years;0
2014;Less than 20 years;80-89 years;5-9 years;0
2014;Less than 20 years;80-89 years;10-14 years;0
2014;Less than 20 years;80-89 years;15-19 years;0
2014;Less than 20 years;80-89 years;20 years or more;0
