hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
312121,1.50437682571041,64,2,2,2,2,5,210,2,1,1,2
327888,0.82343802081362,19,2,1,1,1,3,220,4,1,1,4
104927,0.98016914248195,56,1,2,1,1,5,210,2,2,2,1
422985,1.3353202399382,13,2,1,5,2,1,220,5,2,2,5
210836,0.45467538676333,60,2,2,4,1,5,210,2,1,1,2
407492,0.66798585878596,62,2,2,2,1,5,210,2,1,1,2
415777,3.82505265329518,20,1,1,2,2,3,220,3,2,2,3
320371,1.49348191908489,43,1,2,1,1,4,220,5,1,1,1
315921,1.45591299190887,71,2,4,4,2,6,210,2,1,1,1
515503,1.69232768963136,19,1,1,3,2,3,220,5,2,2,4
418115,0.64462157340548,42,1,2,1,1,4,220,4,0,0,1
215291,3.13103542927676,55,2,2,1,1,5,230,3,1,1,1
516024,0.71204999159907,57,1,2,1,1,5,210,2,1,1,1
321169,1.31424707502913,55,2,2,1,1,5,210,2,1,1,2
214139,1.8721990029898,13,2,1,5,2,1,220,4,0,0,3
509583,1.59631137168898,36,1,1,1,1,4,220,3,0,0,2
310732,0.45728932789601,53,2,2,2,1,5,220,4,2,2,2
322024,1.32056418769328,9,1,1,5,2,1,220,4,1,1,4
311508,1.04314936345137,6,2,1,5,2,1,230,4,1,1,4
412652,0.3620014862307,63,2,2,1,1,5,210,2,1,1,1
415755,1.79841372686607,20,2,4,1,1,3,220,4,2,2,4
402288,0.67471457866717,85,1,2,4,2,6,210,2,0,0,1
314240,2.33239301559215,55,1,2,1,1,5,220,6,1,1,1
518873,1.00597656981119,17,1,1,3,2,2,220,4,1,1,3
315618,1.85961771400942,46,1,2,1,1,5,220,4,2,2,2
328582,0.66619454643447,73,2,2,1,2,6,210,2,1,1,1
427721,2.37196094461876,8,2,1,5,2,1,220,5,2,2,4
215844,3.82505265329518,58,1,2,2,2,5,220,3,2,2,1
227392,0.68482932901829,36,1,2,1,1,4,220,3,1,1,1
312321,0.7499919357471,11,1,1,5,2,1,230,5,1,1,3
302102,3.20479242821573,40,1,1,1,1,4,220,3,3,3,2
426141,2.57104794373764,48,2,3,1,1,5,230,2,2,2,1
324720,3.47777731453313,17,2,1,1,2,2,220,3,2,2,3
415904,1.36380488624021,12,1,1,5,2,1,220,4,2,2,3
303960,0.71803484298526,82,1,3,4,1,6,230,2,1,1,1
106429,1.3847875880849,41,2,2,1,1,4,220,5,1,1,2
112026,0.73744848849643,38,1,2,1,1,4,220,3,2,2,1
418001,0.52567895320867,41,2,2,1,1,4,210,2,1,1,2
305502,0.46613397755703,45,1,1,1,1,5,10,1,1,1,1
517557,0.30980004507147,76,2,2,4,2,6,10,1,0,0,1
420252,1.89154452948785,39,2,2,1,1,4,220,4,2,2,1
106002,0.40157362184556,74,2,3,4,1,6,10,1,1,1,1
510930,0.39080689751621,51,1,1,1,2,5,10,1,0,0,1
329655,2.05343861356953,16,2,1,3,2,2,30,5,2,2,5
515251,1.47190820611057,22,1,1,1,1,3,210,2,2,2,2
206588,0.93987673976519,15,2,1,3,2,2,220,4,2,2,3
318089,0.90205376552774,10,1,1,5,2,1,220,5,2,2,5
500434,2.55046361604113,16,1,1,3,2,2,230,3,1,1,2
323999,1.65634153901349,42,1,2,1,1,4,220,4,1,1,1
428567,1.30212512525976,28,1,1,1,1,4,210,2,1,1,1
208357,1.62613652319493,14,2,1,5,2,1,220,5,3,3,5
317394,0.66465131453736,30,2,1,1,1,4,10,1,2,2,1
510626,1.58070085708598,53,2,4,2,2,5,230,2,0,0,1
500365,2.54458616350784,44,1,2,1,1,5,210,2,2,2,2
