person_id,birth,gender,primary_hh,death
525,1994,M,100569.0,9999
526,1960,F,5717657.0,9999
527,1960,M,5717658.0,9999
528,1990,M,100581.0,9999
529,1993,M,100581.0,9999
530,1995,M,100581.0,9999
531,1945,F,5717662.0,9999
532,1945,F,5717663.0,9999
533,1950,M,5717664.0,2011
534,1950,M,5717665.0,2019
535,1950,M,5717666.0,9999
536,1953,F,5717667.0,9999
537,1953,F,5717668.0,9999
538,1953,F,5717669.0,9999
539,1985,F,100589.0,9999
540,1985,F,621536.0,9999
541,1985,F,1142483.0,9999
542,1945,M,5717673.0,9999
543,1948,F,5717674.0,9999
544,1981,M,5717675.0,9999
545,1981,M,5717676.0,9999
546,1983,F,5717677.0,9999
547,1983,F,5717678.0,9999
548,1959,M,5717679.0,9999
549,1959,M,5717680.0,9999
550,1959,M,5717681.0,9999
551,1967,F,5717682.0,9999
552,1967,F,5717683.0,9999
553,1967,F,5717684.0,9999
554,1992,F,100616.0,9999
555,1992,F,621563.0,9999
556,1992,F,1142510.0,9999
557,1993,F,100616.0,9999
558,1993,F,621563.0,9999
559,1993,F,1142510.0,9999
560,1998,M,100616.0,9999
561,1998,M,621563.0,9999
562,1998,M,1142510.0,9999
563,1975,M,5717694.0,9999
564,1975,M,5717695.0,9999
565,1947,M,5717696.0,9999
566,1947,M,5717697.0,9999
567,1949,M,5717698.0,9999
568,1950,F,5717699.0,2022
569,1983,M,100630.0,9999
570,1986,F,100630.0,9999
571,1946,F,5717702.0,9999
572,1948,M,5717703.0,2025
573,1974,M,5717704.0,9999
574,1974,M,5717705.0,9999
575,1975,F,5717706.0,9999
576,1975,F,5717707.0,9999
577,2003,F,100637.0,9999
578,2003,F,621584.0,9999
579,2007,F,100637.0,9999
580,2007,F,621584.0,9999
581,1965,M,5717712.0,9999
582,1990,F,100639.0,9999
583,1970,M,5717714.0,9999
584,1970,M,5717715.0,9999
585,1970,M,5717716.0,9999
586,1970,F,5717717.0,9999
587,1970,F,5717718.0,9999
588,1970,F,5717719.0,9999
589,2000,M,100642.0,9999
590,2000,M,621589.0,9999
591,2000,M,1142536.0,9999
592,2001,F,100642.0,9999
593,2001,F,621589.0,9999
594,2001,F,1142536.0,9999
595,2001,F,100642.0,9999
596,2001,F,621589.0,9999
597,2001,F,1142536.0,9999
598,2004,M,100642.0,9999
599,2004,M,621589.0,9999
600,2004,M,1142536.0,9999
601,1954,F,5717732.0,2019
602,1954,F,5717733.0,2022
603,1954,F,5717734.0,9999
604,1946,M,5717735.0,2019
605,1946,M,5717736.0,9999
606,1946,M,5717737.0,9999
607,1946,M,5717738.0,2023
608,1954,M,5717739.0,9999
609,1954,M,5717740.0,9999
610,1965,F,5717741.0,9999
611,1965,F,5717742.0,9999
612,1994,M,100664.0,9999
613,1994,M,621611.0,9999
614,1998,F,100664.0,9999
615,1998,F,621611.0,9999
616,2002,M,100664.0,9999
617,2002,M,621611.0,9999
618,1964,F,5717749.0,9999
619,1964,F,5717750.0,9999
620,1972,M,5717751.0,9999
621,1972,M,5717752.0,9999
622,1928,M,5717753.0,2020
623,1928,M,5717754.0,2022
624,1932,M,5717755.0,2020
625,1935,F,5717756.0,2020
626,1960,M,5717757.0,9999
627,1961,F,5717758.0,9999
628,1991,F,100690.0,9999
629,1962,M,5717760.0,2019
630,1990,F,100694.0,9999
631,1951,M,5717762.0,9999
632,1960,F,5717763.0,9999
633,1998,M,100695.0,9999
634,1940,M,5717765.0,2016
635,1940,M,5717766.0,9999
